Distance (mm),X (78),Y (82)
35.0,10911.37741909699,10880.438148847037
40.0,10911.37741909699,10920.806528036106
45.0,9903.807445255405,12009.081405727244
50.0,10033.954737878008,11074.14086141159
55.0,9340.866078583056,11244.952876394382
60.0,10082.432501175432,12136.355430386726
65.0,9265.313686499252,11121.4156847615
70.0,9300.396470879103,10941.594300483142
75.0,9329.748693227444,10926.517811377882
80.0,9189.60602750965,11370.907630454092
